County,Population 2010,Population 2020,Neighboring Counties,2010 District
Stokes,47401,44520,"Rockingham, Forsyth, Surry",6
Surry,73673,71359,"Alleghany, Wilkes, Yadkin, Stokes",6
Swain,13981,14117,"Graham, Macon, Jackson, Haywood",11
Transylvania,33090,32986,"Jackson, Haywood, Henderson",11
Tyrrell,4407,3245,"Dare, Hyde, Washington",3
Union,201292,238267,"Mecklenburg, Cabarrus, Stanly, Anson",8
Vance,45422,42578,"Granville, Franklin, Warren",1
Wake,900993,1129410,"Franklin, Johnston, Harnett, Chatham, Durham, Granville",4
Warren,20972,18642,"Vance, Franklin, Halifax, Northampton",1
Washington,13228,11003,"Chowan, Perquimans, Tyrrell, Hyde, Beaufort, Martin, Bertie",3
Watauga,51079,54086,"Avery, Caldwell, Wilkes, Ashe",5
Wayne,122623,117333,"Johnston, Wilson, Greene, Lenoir, Duplin, Sampson",13
Wilkes,69340,65969,"Ashe, Watauga, Caldwell, Alexander, Iredell, Yadkin, Surry, Alleghany",5
Wilson,81234,78784,"Edgecombe, Pitt, Greene, Wayne, Johnston, Nash",13
Yadkin,38406,37214,"Surry, Forsyth, Davie, Wilkes, Iredell",5
Yancey,17818,18470,"Madison, Buncombe, McDowell, Mitchell",11
