County,Population 2010,Population 2020,Neighboring Counties
Transylvania,33090,32986,"Jackson, Haywood, Henderson"
Tyrrell,4407,3245,"Dare, Hyde, Washington"
Union,201292,238267,"Mecklenburg, Cabarrus, Stanly, Anson"
Vance,45422,42578,"Granville, Franklin, Warren"
Wake,900993,1129410,"Franklin, Johnston, Harnett, Chatham, Durham, Granville"
Warren,20972,18642,"Vance, Franklin, Halifax, Northampton"
Washington,13228,11003,"Chowan, Perquimans, Tyrrell, Hyde, Beaufort, Martin, Bertie"
Watauga,51079,54086,"Avery, Caldwell, Wilkes, Ashe"
Wayne,122623,117333,"Johnston, Wilson, Greene, Lenoir, Duplin, Sampson"
Wilkes,69340,65969,"Ashe, Watauga, Caldwell, Alexander, Iredell, Yadkin, Surry, Alleghany"
Wilson,81234,78784,"Edgecombe, Pitt, Greene, Wayne, Johnston, Nash"
Yadkin,38406,37214,"Surry, Forsyth, Davie, Wilkes, Iredell"
Yancey,17818,18470,"Madison, Buncombe, McDowell, Mitchell"
